Names,Freq,Names_lower
Z0  ,0.0,z0  
SA  ,0.0001140741,sa  
SSA ,0.0002281591,ssa 
MSM ,0.0013097808,msm 
MM  ,0.0015121518,mm  
MSF ,0.0028219327,msf 
MF  ,0.0030500918,mf  
ALP1,0.0343965699,alp1
2Q1 ,0.0357063507,2q1 
SIG1,0.0359087218,sig1
Q1  ,0.0372185026,q1  
RHO1,0.0374208736,rho1
O1  ,0.0387306544,o1  
TAU1,0.0389588136,tau1
BET1,0.0400404353,bet1
NO1 ,0.0402685944,no1 
CHI1,0.0404709654,chi1
PI1 ,0.041438513,pi1 
P1  ,0.0415525871,p1  
S1  ,0.0416666721,s1  
K1  ,0.0417807462,k1  
PSI1,0.0418948203,psi1
PHI1,0.0420089053,phi1
THE1,0.043090527,the1
J1  ,0.0432928981,j1  
2PO1,0.0443745198,2po1
SO1 ,0.0446026789,so1 
OO1 ,0.044830838,oo1 
UPS1,0.0463429898,ups1
ST36,0.0733553835,st36
2NS2,0.0746651643,2ns2
ST37,0.0748675353,st37
ST1 ,0.0748933234,st1 
OQ2 ,0.0759749451,oq2 
EPS2,0.0761773161,eps2
ST2 ,0.0764054753,st2 
ST3 ,0.0772331498,st3 
O2  ,0.0774613089,o2  
2N2 ,0.077487097,2n2 
MU2 ,0.077689468,mu2 
SNK2,0.0787710897,snk2
N2  ,0.0789992488,n2  
NU2 ,0.0792016198,nu2 
ST4 ,0.079455567,st4 
OP2 ,0.0802832416,op2 
GAM2,0.0803090296,gam2
H1  ,0.0803973266,h1  
M2  ,0.0805114007,m2  
H2  ,0.0806254748,h2  
MKS2,0.0807395598,mks2
ST5 ,0.0809677189,st5 
ST6 ,0.0815930224,st6 
LDA2,0.0818211815,lda2
L2  ,0.0820235525,l2  
2SK2,0.0831051742,2sk2
T2  ,0.0832192592,t2  
S2  ,0.0833333333,s2  
R2  ,0.0834474074,r2  
K2  ,0.0835614924,k2  
MSN2,0.0848454852,msn2
ETA2,0.0850736443,eta2
ST7 ,0.0853018034,st7 
2SM2,0.086155266,2sm2
ST38,0.086357637,st38
SKM2,0.0863834251,skm2
2SN2,0.0876674179,2sn2
NO3 ,0.1177299033,no3 
MO3 ,0.1192420551,mo3 
M3  ,0.120767101,m3  
NK3 ,0.120779995,nk3 
SO3 ,0.1220639878,so3 
MK3 ,0.1222921469,mk3 
SP3 ,0.1248859204,sp3 
SK3 ,0.1251140796,sk3 
ST8 ,0.1566887168,st8 
N4  ,0.1579984976,n4  
3MS4,0.1582008687,3ms4
ST39,0.1592824904,st39
MN4 ,0.1595106495,mn4 
ST9 ,0.1597388086,st9 
ST40,0.1607946422,st40
M4  ,0.1610228013,m4  
ST10,0.1612509604,st10
SN4 ,0.1623325821,sn4 
KN4 ,0.1625607413,kn4 
MS4 ,0.163844734,ms4 
MK4 ,0.1640728931,mk4 
SL4 ,0.1653568858,sl4 
S4  ,0.1666666667,s4  
SK4 ,0.1668948258,sk4 
MNO5,0.1982413039,mno5
2MO5,0.1997534558,2mo5
3MP5,0.1999816149,3mp5
MNK5,0.2012913957,mnk5
2MP5,0.2025753884,2mp5
2MK5,0.2028035475,2mk5
MSK5,0.2056254802,msk5
3KM5,0.2058536393,3km5
2SK5,0.2084474129,2sk5
ST11,0.2372259056,st11
2NM6,0.2385098983,2nm6
ST12,0.2387380574,st12
2MN6,0.2400220501,2mn6
ST13,0.2402502093,st13
ST41,0.2413060429,st41
M6  ,0.241534202,m6  
MSN6,0.2428439828,msn6
MKN6,0.2430721419,mkn6
ST42,0.2441279756,st42
2MS6,0.2443561347,2ms6
2MK6,0.2445842938,2mk6
NSK6,0.2458940746,nsk6
2SM6,0.2471780673,2sm6
MSK6,0.2474062264,msk6
S6  ,0.25,s6  
ST14,0.2787527046,st14
ST15,0.2802906445,st15
M7  ,0.2817899023,m7  
ST16,0.2830867891,st16
3MK7,0.2833149482,3mk7
ST17,0.2861368809,st17
ST18,0.319021299,st18
3MN8,0.3205334508,3mn8
ST19,0.3207616099,st19
M8  ,0.3220456027,m8  
ST20,0.3233553835,st20
ST21,0.3235835426,st21
3MS8,0.3248675353,3ms8
3MK8,0.3250956944,3mk8
ST22,0.3264054753,st22
ST23,0.327689468,st23
ST24,0.3279176271,st24
ST25,0.3608020452,st25
ST26,0.362314197,st26
4MK9,0.3638263489,4mk9
ST27,0.3666482815,st27
ST28,0.4010448515,st28
M10 ,0.4025570033,m10 
ST29,0.4038667841,st29
ST30,0.405378936,st30
ST31,0.4069168759,st31
ST32,0.4082008687,st32
ST33,0.4471596822,st33
M12 ,0.483068404,m12 
ST34,0.4858903367,st34
ST35,0.4874282766,st35
